plant_ID,day,positive_flowers,total_flowers,tetrads,flower_day,tetrad_proportion,flower_proportion,Y_var,total_flower_proportion
1,2,0,2,0,1,0,0,0,0.029850746
1,3,0,2,0,2,0,0,0,0.029850746
1,4,0,2,0,3,0,0,0,0.029850746
1,5,0,0,0,4,0,0,0,0
1,6,0,1,0,5,0,0,0,0.014925373
1,7,0,2,0,6,0,0,0,0.029850746
1,8,0,6,0,7,0,0,0,0.089552239
1,9,0,8,0,8,0,0,0,0.119402985
1,10,0,11,0,9,0,0,0,0.164179104
1,11,0,11,0,10,0,0,0,0.164179104
1,12,0,11,0,11,0,0,0,0.164179104
1,13,0,11,0,12,0,0,0,0.164179104
2,2,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0
2,5,2,2,24,1,0.32,0.666666667,0.213333333,0.039215686
2,6,1,2,2,2,0.026666667,0.333333333,0.008888889,0.039215686
2,7,0,3,0,3,0,0,0,0.058823529
2,8,1,3,3,4,0.04,0.25,0.01,0.058823529
2,9,0,3,0,5,0,0,0,0.058823529
2,10,1,9,20,6,0.266666667,0.1,0.026666667,0.176470588
2,11,1,7,17,7,0.226666667,0.125,0.028333333,0.137254902
2,12,1,15,9,8,0.12,0.0625,0.0075,0.294117647
2,13,0,7,0,9,0,0,0,0.137254902
3,2,1,2,21,1,0.071917808,0.333333333,0.023972603,0.024096386
3,3,2,3,79,2,0.270547945,0.5,0.135273973,0.036144578
3,4,0,2,0,3,0,0,0,0.024096386
3,5,0,0,0,4,0,0,0,0
3,6,0,4,0,5,0,0,0,0.048192771
3,7,2,4,18,6,0.061643836,0.4,0.024657534,0.048192771
3,8,3,5,29,7,0.099315068,0.5,0.049657534,0.060240964
3,9,5,14,76,8,0.260273973,0.333333333,0.086757991,0.168674699
3,10,3,12,18,9,0.061643836,0.230769231,0.014225501,0.144578313
3,11,4,18,51,10,0.174657534,0.210526316,0.036770007,0.21686747
3,12,0,9,0,11,0,0,0,0.108433735
3,13,0,10,0,12,0,0,0,0.120481928
4,2,0,1,0,1,0,0,0,0.013513514
4,3,1,3,13,2,0.045138889,0.25,0.011284722,0.040540541
4,4,2,2,39,3,0.135416667,0.666666667,0.090277778,0.027027027
4,5,2,3,41,4,0.142361111,0.5,0.071180556,0.040540541
4,6,1,2,23,5,0.079861111,0.333333333,0.02662037,0.027027027
4,7,0,6,0,6,0,0,0,0.081081081
4,8,0,10,0,7,0,0,0,0.135135135
4,9,1,9,15,8,0.052083333,0.1,0.005208333,0.121621622
4,10,2,12,41,9,0.142361111,0.153846154,0.021901709,0.162162162
4,11,3,11,69,10,0.239583333,0.25,0.059895833,0.148648649
4,12,2,5,16,11,0.055555556,0.333333333,0.018518519,0.067567568
4,13,5,10,31,12,0.107638889,0.454545455,0.048926768,0.135135135
5,2,0,0,0,0,0,0,0,0
5,3,0,3,0,1,0,0,0,0.036585366
5,4,0,2,0,2,0,0,0,0.024390244
5,5,0,0,0,3,0,0,0,0
5,6,1,4,10,4,0.106382979,0.2,0.021276596,0.048780488
5,7,0,3,0,5,0,0,0,0.036585366
5,8,2,7,4,6,0.042553191,0.25,0.010638298,0.085365854
5,9,1,10,9,7,0.095744681,0.090909091,0.008704062,0.12195122
5,10,0,15,20,8,0.212765957,0,0,0.182926829
5,11,1,13,30,9,0.319148936,0.071428571,0.022796353,0.158536585
5,12,1,12,11,10,0.117021277,0.076923077,0.009001637,0.146341463
5,13,1,13,10,11,0.106382979,0.071428571,0.007598784,0.158536585
6,2,0,0,0,0,0,0,0,0
6,3,0,2,0,1,0,0,0,0.025316456
6,4,1,3,6,2,0.02739726,0.25,0.006849315,0.037974684
6,5,0,0,0,3,0,0,0,0
6,6,2,3,43,4,0.196347032,0.5,0.098173516,0.037974684
6,7,0,3,0,5,0,0,0,0.037974684
6,8,1,10,4,6,0.01826484,0.090909091,0.00166044,0.126582278
6,9,5,15,21,7,0.095890411,0.3125,0.029965753,0.189873418
6,10,2,11,18,8,0.082191781,0.166666667,0.01369863,0.139240506
6,11,0,6,0,9,0,0,0,0.075949367
6,12,5,16,52,10,0.237442922,0.294117647,0.069836154,0.202531646
6,13,6,10,75,11,0.342465753,0.545454545,0.186799502,0.126582278
7,2,0,1,0,1,0,0,0,0.011494253
7,3,0,2,0,2,0,0,0,0.022988506
7,4,1,2,8,3,0.034632035,0.333333333,0.011544012,0.022988506
7,5,0,0,0,4,0,0,0,0
7,6,0,3,0,5,0,0,0,0.034482759
7,7,1,11,25,6,0.108225108,0.083333333,0.009018759,0.126436782
7,8,2,12,15,7,0.064935065,0.153846154,0.00999001,0.137931034
7,9,2,13,41,8,0.177489177,0.142857143,0.025355597,0.149425287
7,10,4,14,20,9,0.086580087,0.266666667,0.023088023,0.16091954
7,11,1,15,7,10,0.03030303,0.0625,0.001893939,0.172413793
7,12,0,0,0,11,0,0,0,0
7,13,5,14,115,12,0.497835498,0.333333333,0.165945166,0.16091954
8,2,0,1,0,1,0,0,0,0.018518519
8,3,0,3,0,2,0,0,0,0.055555556
8,4,0,2,0,3,0,0,0,0.037037037
8,5,0,0,0,4,0,0,0,0
8,6,0,3,0,5,0,0,0,0.055555556
8,7,0,3,0,6,0,0,0,0.055555556
8,8,1,10,28,7,0.373333333,0.090909091,0.033939394,0.185185185
8,9,0,7,0,8,0,0,0,0.12962963
8,10,3,8,15,9,0.2,0.333333333,0.066666667,0.148148148
8,11,0,8,0,10,0,0,0,0.148148148
8,12,1,2,5,11,0.066666667,0.333333333,0.022222222,0.037037037
8,13,2,7,27,12,0.36,0.25,0.09,0.12962963
9,2,0,0,0,0,0,0,0,0
9,3,0,2,0,1,0,0,0,0.040816327
9,4,0,1,0,2,0,0,0,0.020408163
9,5,0,0,0,3,0,0,0,0
9,6,4,4,64,4,0.271186441,0.8,0.216949153,0.081632653
9,7,2,3,19,5,0.080508475,0.5,0.040254237,0.06122449
9,8,0,3,0,6,0,0,0,0.06122449
9,9,0,8,0,7,0,0,0,0.163265306
9,10,1,11,5,8,0.021186441,0.083333333,0.001765537,0.224489796
9,11,1,5,14,9,0.059322034,0.166666667,0.009887006,0.102040816
9,12,0,0,0,10,0,0,0,0
9,13,9,12,134,11,0.56779661,0.692307692,0.393089961,0.244897959
10,2,0,0,0,0,0,0,0,0
10,3,0,1,0,1,0,0,0,0.010309278
10,4,0,3,0,2,0,0,0,0.030927835
10,5,0,0,0,3,0,0,0,0
10,6,0,2,0,4,0,0,0,0.020618557
10,7,1,13,20,5,0.132450331,0.071428571,0.009460738,0.134020619
10,8,1,14,14,6,0.092715232,0.066666667,0.006181015,0.144329897
10,9,1,12,6,7,0.039735099,0.076923077,0.003056546,0.12371134
10,10,1,18,36,8,0.238410596,0.052631579,0.012547926,0.18556701
10,11,2,11,16,9,0.105960265,0.166666667,0.017660044,0.113402062
10,12,0,12,20,10,0.132450331,0,0,0.12371134
10,13,1,11,39,11,0.258278146,0.083333333,0.021523179,0.113402062
11,2,0,2,0,1,0,0,0,0.019607843
11,3,0,2,0,2,0,0,0,0.019607843
11,4,0,2,0,3,0,0,0,0.019607843
11,5,0,0,0,4,0,0,0,0
11,6,1,3,7,5,0.015350877,0.25,0.003837719,0.029411765
11,7,2,7,61,6,0.13377193,0.25,0.033442982,0.068627451
11,8,5,16,78,7,0.171052632,0.294117647,0.050309598,0.156862745
11,9,5,12,90,8,0.197368421,0.384615385,0.075910931,0.117647059
11,10,2,16,50,9,0.109649123,0.117647059,0.012899897,0.156862745
11,11,2,15,29,10,0.063596491,0.125,0.007949561,0.147058824
11,12,5,17,61,11,0.13377193,0.277777778,0.037158869,0.166666667
11,13,5,10,80,12,0.175438596,0.454545455,0.079744817,0.098039216
12,2,1,1,6,1,0.019607843,0.5,0.009803922,0.00990099
12,3,2,2,18,2,0.058823529,0.666666667,0.039215686,0.01980198
12,4,3,3,46,3,0.150326797,0.75,0.112745098,0.02970297
12,5,0,0,0,4,0,0,0,0
12,6,0,3,0,5,0,0,0,0.02970297
12,7,1,7,9,6,0.029411765,0.125,0.003676471,0.069306931
12,8,2,12,5,7,0.016339869,0.153846154,0.002513826,0.118811881
12,9,2,10,11,8,0.035947712,0.181818182,0.006535948,0.099009901
12,10,4,18,33,9,0.107843137,0.210526316,0.022703818,0.178217822
12,11,2,18,19,10,0.062091503,0.105263158,0.006535948,0.178217822
12,12,1,12,16,11,0.052287582,0.076923077,0.004022122,0.118811881
12,13,5,15,163,12,0.532679739,0.3125,0.166462418,0.148514851
13,2,2,2,21,1,0.076923077,0.666666667,0.051282051,0.02739726
13,3,0,2,0,2,0,0,0,0.02739726
13,4,0,2,0,3,0,0,0,0.02739726
13,5,0,0,0,4,0,0,0,0
13,6,0,3,0,5,0,0,0,0.04109589
13,7,3,13,112,6,0.41025641,0.214285714,0.087912088,0.178082192
13,8,6,18,70,7,0.256410256,0.315789474,0.08097166,0.246575342
13,9,1,10,5,8,0.018315018,0.090909091,0.001665002,0.136986301
13,10,3,9,54,9,0.197802198,0.3,0.059340659,0.123287671
13,11,1,4,11,10,0.04029304,0.2,0.008058608,0.054794521
13,12,0,5,0,11,0,0,0,0.068493151
13,13,0,5,0,12,0,0,0,0.068493151
14,2,0,0,0,0,0,0,0,0
14,3,1,2,24,1,0.078688525,0.333333333,0.026229508,0.037037037
14,4,0,0,0,2,0,0,0,0
14,5,0,0,0,3,0,0,0,0
14,6,0,3,0,4,0,0,0,0.055555556
14,7,0,7,20,5,0.06557377,0,0,0.12962963
14,8,7,12,83,6,0.272131148,0.538461538,0.146532156,0.222222222
14,9,5,9,67,7,0.219672131,0.5,0.109836066,0.166666667
14,10,4,8,72,8,0.236065574,0.444444444,0.104918033,0.148148148
14,11,0,0,0,9,0,0,0,0
14,12,1,4,11,10,0.036065574,0.2,0.007213115,0.074074074
14,13,3,9,28,11,0.091803279,0.3,0.027540984,0.166666667
15,2,0,0,0,0,0,0,0,0
15,3,0,0,0,0,0,0,0,0
15,4,0,1,0,1,0,0,0,0.03125
15,5,0,2,0,2,0,0,0,0.0625
15,6,0,1,0,3,0,0,0,0.03125
15,7,0,1,0,4,0,0,0,0.03125
15,8,0,3,0,5,0,0,0,0.09375
15,9,0,1,0,6,0,0,0,0.03125
15,10,0,5,0,7,0,0,0,0.15625
15,11,4,12,36,8,0.642857143,0.307692308,0.197802198,0.375
15,12,0,4,20,9,0.357142857,0,0,0.125
15,13,0,2,0,10,0,0,0,0.0625
16,2,0,0,0,0,0,0,0,0
16,3,0,0,0,0,0,0,0,0
16,4,0,1,0,1,0,0,0,0.014925373
16,5,1,3,5,2,0.034722222,0.25,0.008680556,0.044776119
16,6,1,3,13,3,0.090277778,0.25,0.022569444,0.044776119
16,7,2,2,13,4,0.090277778,0.666666667,0.060185185,0.029850746
16,8,3,8,64,5,0.444444444,0.333333333,0.148148148,0.119402985
16,9,0,11,0,6,0,0,0,0.164179104
16,10,0,11,0,7,0,0,0,0.164179104
16,11,4,14,30,8,0.208333333,0.266666667,0.055555556,0.208955224
16,12,3,14,19,9,0.131944444,0.2,0.026388889,0.208955224
16,13,0,0,0,10,0,0,0,0
